"subbasin","year","month","day","...5","...6","...7","TT PREC     precipitation (rain + snow) volume (in-acre/day)","TT SURO     surface outflow volume (in-acre/day)","TT IFWO     interflow outflow volume (in-acre/day)","TT AGWO     groundwater outflow volume (in-acre/day)","TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)","TT DEP      stream depth (ft)","TT AVDEP    stream average depth (ft)","TT TAU      bed shear stress (kg/m^2)","TT RO       total rate of outflow from RCHRES (cfs)","TT SOSED    sediments load from land (english tons/day)","TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)","TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day)","TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day)","TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day)","TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day)","TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day)","TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day)","TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)","TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)","TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)","TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)","TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)","TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)"
2113,2008,10,1,0,0,NA,0,0.3687940545965,0.03796700846194,5.082629186983,5.489390250042,0.02267132723882,0.02238047430974,20.5093711684,0.03630110949859,0.006032081755305,0,40.80285921046,11.89789044073,52.70074965119,1.219688441513,0.2628750595545,7.271115874329e-06,0.001817384697644,0.0002907447530023,0.06340631322493,2.283629919643,0.2882474299517,0.03751703043854,9.377152444524,1.500147909047,60.00374621487
2113,2008,10,2,0,0,NA,0,0.3748805594612,0.03360975773826,5.030622937684,5.439113254883,0.02253976813654,0.02227805833868,0.02701600864375,0.03600349601918,0.006109019493199,0,40.35948304799,11.77101144196,52.13049448995,1.214284987804,0.2605673988622,7.382245091562e-06,0.001845160808225,0.000295188352614,0.06290594727058,2.278434341645,0.2867757834216,0.03772427866447,9.429098225653,1.508471714994,60.12513968739
2113,2008,10,3,0,0,NA,0,0.3668922150855,0.03099751389136,4.981279806105,5.379169535082,0.02221070191416,0.02196203555213,0.02663597579679,0.03509863987787,0.006013174227634,0,40.5294929909,11.8221275459,52.3516205368,1.197211336729,0.2576146659853,7.262082554586e-06,0.001815164740481,0.0002903931413149,0.06225074991231,2.279151919331,0.2885591645895,0.03795979570391,9.488198499952,1.517948386897,60.75020369434
2113,2008,10,4,0,0,NA,0,0.3983085341852,0.03062256152881,4.952562371381,5.381493467095,0.02284164459962,0.02259178164207,0.02738829816996,0.0368899153559,0.006466239107702,0,41.71421321778,12.14896510019,53.86317831797,1.220192328243,0.2587132188662,7.87038590723e-06,0.001967277208598,0.0003147345550094,0.06241202414664,2.322553722349,0.2856357750876,0.03945481725957,9.862111305873,1.577789128098,60.04530066064
2113,2008,10,5,0,0,NA,0,0.3453728407471,0.02940584913156,4.932968304109,5.307746993988,0.02168105992334,0.02143771428834,0.02600721564534,0.03360156537761,0.005737721614072,0,40.35243500827,11.77627772674,52.12871273502,1.168503569258,0.2538421928249,6.901979331509e-06,0.001725214976034,0.0002760082761933,0.06141530585355,2.260894642244,0.2907291706238,0.03766236819685,9.414193901601,1.506140530479,61.36998498446
2113,2008,10,6,0,0,NA,0,0.3252272711524,0.02641605456829,4.845326846397,5.196970172117,0.02102795864913,0.02087613221533,0.02523227999038,0.0318923022742,0.005457727054811,0,40.35782276359,11.78716832401,52.1449910876,1.133320665488,0.2481605911018,6.542240189973e-06,0.00163530161974,0.0002616241392348,0.06013448889977,2.25680755239,0.2952852781144,0.03738243168916,9.344228635063,1.494947848136,62.72259147289
2113,2008,10,7,0,0,NA,0,0.3475958918291,0.02742072372368,4.755334863088,5.130351478641,0.02127703756127,0.02114116816354,0.02554303364497,0.03264237453358,0.005676044016114,0,40.93720256417,11.94476180227,52.88196436644,1.140003034112,0.245390463944,6.847487834196e-06,0.001711467450588,0.0002737970380178,0.05935893898944,2.302259709488,0.2935424104859,0.03796480210279,9.48914802549,1.518072117393,62.16479625245
2113,2008,10,8,0,0,NA,0,0.3448053617906,0.02820821422182,4.681214059836,5.054227635848,0.02113482316994,0.02103072081461,0.02536869346788,0.0322820789598,0.005640035404106,0,41.29352342991,12.04539621776,53.33891964767,1.125122940352,0.2419548875895,6.810414940942e-06,0.001702227910787,0.0002723213887775,0.05848945707495,2.313636104055,0.2946402311439,0.03828283694259,9.568761640379,1.530820086902,62.21063531486
2113,2008,10,9,0,0,NA,0,0.3827732087978,0.03122430079406,4.633383856688,5.04738136628,0.02190034260057,0.02167301540977,0.02628988242962,0.03427459345332,0.006084618664133,0,42.10622953262,12.26382730143,54.37005683404,1.154089943405,0.2424581286224,7.410573177879e-06,0.001852142804714,0.000296296136377,0.05842756858256,2.371762672502,0.2903353054941,0.03948137646583,9.867906775577,1.578637598944,60.84001429847
2113,2008,10,10,0,0,NA,0,0.3428479913206,0.03284195076901,4.617370887189,4.993060829278,0.02146568185097,0.02117409070112,0.02569277386035,0.03285288119805,0.005647092224116,0,42.21382586237,12.30037078028,54.51419664266,1.114044635539,0.2395550024501,6.828530941e-06,0.001706805636031,0.0002730583725045,0.0577805894791,2.33979837383,0.2931685546466,0.03899517444467,9.746794787179,1.559300609043,61.20560590361
