date,prcp_mm,prcp_in
2014-07-22T00:00:00Z,0,0
2014-07-23T00:00:00Z,0,0
2014-07-24T00:00:00Z,0,0
2014-07-25T00:00:00Z,0,0
2014-07-26T00:00:00Z,0,0
2014-07-27T00:00:00Z,0.11731158251775839,0.00461856624085663
2014-07-28T00:00:00Z,0.04675062214121191,0.0018405756748508626
2014-07-29T00:00:00Z,0,0
2014-07-30T00:00:00Z,0,0
2014-07-31T00:00:00Z,0,0
2014-08-01T00:00:00Z,0,0
2014-08-02T00:00:00Z,0.3875095285002081,0.015256280649614493
2014-08-03T00:00:00Z,2.9081039651682117,0.11449228209323668
2014-08-04T00:00:00Z,0.577323857928749,0.022729285745226337
2014-08-05T00:00:00Z,0,0
2014-08-06T00:00:00Z,0,0
2014-08-07T00:00:00Z,0,0
2014-08-08T00:00:00Z,0,0
2014-08-09T00:00:00Z,0,0
2014-08-10T00:00:00Z,0,0
2014-08-11T00:00:00Z,0,0
2014-08-12T00:00:00Z,0,0
2014-08-13T00:00:00Z,0,0
2014-08-14T00:00:00Z,0,0
2014-08-15T00:00:00Z,0,0
2014-08-16T00:00:00Z,0,0
2014-08-17T00:00:00Z,0,0
2014-08-18T00:00:00Z,0,0
2014-08-19T00:00:00Z,0,0
2014-08-20T00:00:00Z,0,0
2014-08-21T00:00:00Z,0,0
2014-08-22T00:00:00Z,0,0
2014-08-23T00:00:00Z,0,0
2014-08-24T00:00:00Z,0,0
2014-08-25T00:00:00Z,0.0043412826472254,1.7091663965454332e-4
2014-08-26T00:00:00Z,0,0
2014-08-27T00:00:00Z,0,0
2014-08-28T00:00:00Z,0,0
2014-08-29T00:00:00Z,0,0
2014-08-30T00:00:00Z,0,0
2014-08-31T00:00:00Z,0,0
2014-09-01T00:00:00Z,0,0
2014-09-02T00:00:00Z,0,0
2014-09-03T00:00:00Z,0,0
2014-09-04T00:00:00Z,0,0
2014-09-05T00:00:00Z,0,0
2014-09-06T00:00:00Z,0,0
2014-09-07T00:00:00Z,0.009626269283088799,3.7898697964916533e-4
2014-09-08T00:00:00Z,0.5760547254712846,0.022679319900444275
2014-09-09T00:00:00Z,0.0982141532982955,0.0038666989487517915
2014-09-10T00:00:00Z,0,0
2014-09-11T00:00:00Z,0,0
2014-09-12T00:00:00Z,0,0
2014-09-13T00:00:00Z,0,0
2014-09-14T00:00:00Z,0,0
2014-09-15T00:00:00Z,0,0
2014-09-16T00:00:00Z,0,0
2014-09-17T00:00:00Z,0,0
2014-09-18T00:00:00Z,0,0
2014-09-19T00:00:00Z,0,0
2014-09-20T00:00:00Z,0,0
2014-09-21T00:00:00Z,0,0
2014-09-22T00:00:00Z,0,0
2014-09-23T00:00:00Z,0,0
2014-09-24T00:00:00Z,0,0
2014-09-25T00:00:00Z,0,0
2014-09-26T00:00:00Z,0,0
2014-09-27T00:00:00Z,0,0
2014-09-28T00:00:00Z,0.0353920114928934,0.0013933862792477718
2014-09-29T00:00:00Z,0.008671147679372899,3.4138376690444485e-4
2014-09-30T00:00:00Z,0,0
2014-10-01T00:00:00Z,0,0
2014-10-02T00:00:00Z,0,0
2014-10-03T00:00:00Z,0,0
2014-10-04T00:00:00Z,0,0
2014-10-05T00:00:00Z,0,0
2014-10-06T00:00:00Z,0,0
2014-10-07T00:00:00Z,0,0
2014-10-08T00:00:00Z,0,0
2014-10-09T00:00:00Z,0,0
2014-10-10T00:00:00Z,0,0
2014-10-11T00:00:00Z,0,0
2014-10-12T00:00:00Z,0,0
2014-10-13T00:00:00Z,0.0036098509811582995,1.42120117368437e-4
2014-10-14T00:00:00Z,0,0
2014-10-15T00:00:00Z,0,0
2014-10-16T00:00:00Z,0,0
2014-10-17T00:00:00Z,0,0
2014-10-18T00:00:00Z,0,0
2014-10-19T00:00:00Z,0,0
2014-10-20T00:00:00Z,0,0
2014-10-21T00:00:00Z,0,0
2014-10-22T00:00:00Z,0,0
2014-10-23T00:00:00Z,0,0
2014-10-24T00:00:00Z,0,0
2014-10-25T00:00:00Z,0,0
2014-10-26T00:00:00Z,0,0
2014-10-27T00:00:00Z,0,0
2014-10-28T00:00:00Z,0,0
2014-10-29T00:00:00Z,0,0
2014-10-30T00:00:00Z,0.1094988130951351,0.0043109768935092555
2014-10-31T00:00:00Z,1.5805246206095824,0.06222537876415679
2014-11-01T00:00:00Z,6.081524751125931,0.23943010831204456
2014-11-02T00:00:00Z,0.3597799144866543,0.014164563562466705
2014-11-03T00:00:00Z,0.0012773513814540003,5.028942446669293e-5
2014-11-04T00:00:00Z,7.351255728576001e-4,2.894195168730709e-5
2014-11-05T00:00:00Z,0,0
2014-11-06T00:00:00Z,0,0
2014-11-07T00:00:00Z,0,0
2014-11-08T00:00:00Z,0,0
2014-11-09T00:00:00Z,0,0
2014-11-10T00:00:00Z,0,0
2014-11-11T00:00:00Z,0,0
2014-11-12T00:00:00Z,0.0036098509811582995,1.42120117368437e-4
2014-11-13T00:00:00Z,0.0165952773714015,6.533573768268307e-4
2014-11-14T00:00:00Z,0.0710306702810028,0.002796483081929244
2014-11-15T00:00:00Z,0,0
2014-11-16T00:00:00Z,0,0
2014-11-17T00:00:00Z,0,0
2014-11-18T00:00:00Z,0,0
2014-11-19T00:00:00Z,0,0
2014-11-20T00:00:00Z,0.0036098509811582995,1.42120117368437e-4
2014-11-21T00:00:00Z,0.30318936764091325,0.01193658927720131
2014-11-22T00:00:00Z,0.033042369859384,0.0013008807031253545
2014-11-23T00:00:00Z,0,0
2014-11-24T00:00:00Z,0,0
2014-11-25T00:00:00Z,0,0
2014-11-26T00:00:00Z,0,0
2014-11-27T00:00:00Z,0,0
2014-11-28T00:00:00Z,0,0
2014-11-29T00:00:00Z,0.1251415006801544,0.00492683073543915
2014-11-30T00:00:00Z,2.5825311035415277,0.10167445289533575
2014-12-01T00:00:00Z,5.419911758602965,0.21338235270090417
2014-12-02T00:00:00Z,9.241976969560994,0.36385736100633836
2014-12-03T00:00:00Z,14.473526840070159,0.5698238913413449
2014-12-04T00:00:00Z,2.42618324291466,0.0955190253116008
2014-12-05T00:00:00Z,0.012245405170838398,4.821025657810393e-4
2014-12-06T00:00:00Z,7.344870878889e-4,2.891681448381496e-5
2014-12-07T00:00:00Z,0,0
2014-12-08T00:00:00Z,0,0
2014-12-09T00:00:00Z,0,0
2014-12-10T00:00:00Z,0.021659105886949796,8.52720704210622e-4
2014-12-11T00:00:00Z,0.88030788776001,0.03465779085669331
