"subbasin","deluid","deluname","lutype","acre_ac","slsur","lsur"
6396,15331,"Veg_High-C-High-Confined",2,0,0.01,400
6396,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
6396,15421,"Veg_High-D-Med-Confined",2,10.202649,0.06,300
6396,15422,"Veg_High-D-Med-Unconfined",2,2.705506,0.08,300
6396,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6396,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6396,16000,"Water-All-All-All",1,0,0.01,100
6397,1000,"Road_Freeway-All-All-All",1,50.268289,0.03,100
6397,2000,"Road_Primary-All-All-All",1,17.312366,0.03,100
6397,3000,"Road_Minor-All-All-All",1,48.198927,0.04,100
6397,4000,"Dev_ResHigh-All-All-All",1,14.071061,0.03,100
6397,5000,"Dev_ResLow-All-All-All",1,85.788833,0.07,100
6397,6000,"Dev_Com-All-All-All",1,5.608837,0.03,100
6397,7000,"Dev_Ind-All-All-All",1,32.469635,0.01,100
6397,8000,"Dev_Inst-All-All-All",1,14.805071,0.01,100
6397,9000,"Dev_Roof-All-All-All",1,78.896903,0.03,100
6397,10000,"Dev_Overspray-All-All-All",1,2.285672,0.06,100
6397,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6397,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6397,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6397,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6397,11211,"Dev_Irrigated-B-Low-Confined",2,4.785464,0.06,400
6397,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
6397,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.05,300
6397,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
6397,11311,"Dev_Irrigated-C-Low-Confined",2,14.086083,0.07,400
6397,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6397,11321,"Dev_Irrigated-C-Med-Confined",2,26.830676,0.14,300
6397,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6397,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.01,400
6397,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
6397,11421,"Dev_Irrigated-D-Med-Confined",2,0.011213,0.07,300
6397,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6397,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6397,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6397,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6397,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6397,12211,"Dev_Pervious-B-Low-Confined",2,13.872486,0.06,400
6397,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
6397,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6397,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6397,12311,"Dev_Pervious-C-Low-Confined",2,40.833865,0.07,400
6397,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6397,12321,"Dev_Pervious-C-Med-Confined",2,77.778913,0.06,300
6397,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6397,12411,"Dev_Pervious-D-Low-Confined",2,0,0.01,400
6397,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
6397,12421,"Dev_Pervious-D-Med-Confined",2,0.032504,0.08,300
6397,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6397,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6397,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6397,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6397,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6397,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6397,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6397,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6397,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6397,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6397,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6397,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6397,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6397,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6397,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6397,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6397,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6397,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6397,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6397,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6397,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6397,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6397,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6397,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6397,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6397,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6397,14221,"Veg_Low-B-Med-Confined",2,3.530084,0.08,300
6397,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
6397,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6397,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6397,14321,"Veg_Low-C-Med-Confined",2,54.719622,0.1,300
6397,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
6397,14331,"Veg_Low-C-High-Confined",2,0.59674,0.1,400
6397,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
6397,14421,"Veg_Low-D-Med-Confined",2,0.031572,0.06,300
6397,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
6397,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
6397,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
6397,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
6397,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
6397,15131,"Veg_High-A-High-Confined",2,0,0.01,400
6397,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
6397,15221,"Veg_High-B-Med-Confined",2,3.699669,0.03,300
6397,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
6397,15231,"Veg_High-B-High-Confined",2,0,0.01,400
6397,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
6397,15321,"Veg_High-C-Med-Confined",2,30.497307,0.14,300
6397,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
6397,15331,"Veg_High-C-High-Confined",2,0.079688,0.21,400
6397,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
6397,15421,"Veg_High-D-Med-Confined",2,0.025183,0.08,300
6397,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
6397,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6397,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6397,16000,"Water-All-All-All",1,0,0.01,100
6398,1000,"Road_Freeway-All-All-All",1,0,0.01,100
6398,2000,"Road_Primary-All-All-All",1,20.890462,0.03,100
6398,3000,"Road_Minor-All-All-All",1,39.770684,0.05,100
6398,4000,"Dev_ResHigh-All-All-All",1,18.430801,0.04,100
6398,5000,"Dev_ResLow-All-All-All",1,162.299744,0.2,100
6398,6000,"Dev_Com-All-All-All",1,12.173591,0.02,100
6398,7000,"Dev_Ind-All-All-All",1,11.801336,0.02,100
6398,8000,"Dev_Inst-All-All-All",1,12.913975,0.06,100
6398,9000,"Dev_Roof-All-All-All",1,77.306621,0.03,100
6398,10000,"Dev_Overspray-All-All-All",1,5.584609,0.16,100
6398,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6398,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6398,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
