"subbasin","deluid","deluname","lutype","acrea_ac","slsur","lsur"
6925,15421,"Veg_High-D-Med-Confined",2,0,0.01,300
6925,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
6925,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6925,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6925,16000,"Water-All-All-All",1,0,0.01,100
6926,1000,"Road_Freeway-All-All-All",1,0,0.01,100
6926,2000,"Road_Primary-All-All-All",1,4.073889,0.01,100
6926,3000,"Road_Minor-All-All-All",1,12.371499,0.01,100
6926,4000,"Dev_ResHigh-All-All-All",1,3.782498,0.01,100
6926,5000,"Dev_ResLow-All-All-All",1,47.456729,0.01,100
6926,6000,"Dev_Com-All-All-All",1,7.147022,0.01,100
6926,7000,"Dev_Ind-All-All-All",1,0.317002,0.01,100
6926,8000,"Dev_Inst-All-All-All",1,3.687262,0.01,100
6926,9000,"Dev_Roof-All-All-All",1,28.345132,0.01,100
6926,10000,"Dev_Overspray-All-All-All",1,1.241868,0.01,100
6926,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6926,11112,"Dev_Irrigated-A-Low-Unconfined",2,11.415706,0.01,400
6926,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6926,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6926,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6926,11212,"Dev_Irrigated-B-Low-Unconfined",2,13.42165,0.01,400
6926,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6926,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
6926,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
6926,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6926,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
6926,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6926,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.01,400
6926,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
6926,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
6926,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6926,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6926,12112,"Dev_Pervious-A-Low-Unconfined",2,29.423354,0.01,400
6926,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6926,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6926,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6926,12212,"Dev_Pervious-B-Low-Unconfined",2,34.593566,0.01,400
6926,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6926,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6926,12311,"Dev_Pervious-C-Low-Confined",2,0,0.01,400
6926,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6926,12321,"Dev_Pervious-C-Med-Confined",2,0,0.01,300
6926,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6926,12411,"Dev_Pervious-D-Low-Confined",2,0,0.01,400
6926,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
6926,12421,"Dev_Pervious-D-Med-Confined",2,0,0.01,300
6926,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6926,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6926,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6926,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6926,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6926,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6926,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6926,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6926,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6926,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6926,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6926,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6926,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6926,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6926,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6926,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6926,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6926,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6926,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6926,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6926,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6926,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6926,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6926,14122,"Veg_Low-A-Med-Unconfined",2,10.217178,0.01,300
6926,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
