5118	2008	10	11	0	0		0.000000000000e+00	1.597090533885e-01	0.000000000000e+00	1.171077449807e+00	1.330786503196e+00	3.042217798391e-03	9.253463326531e-02	2.997797372537e-03	1.092448333688e-01	2.845647926874e-03	0.000000000000e+00	9.667650555440e+01	2.777259760478e+01	1.244491031592e+02	3.437277387419e-01	6.754552537196e-02	3.617280761573e-06	9.043201878895e-04	1.446912298286e-04	1.616292520436e-02	3.997412935552e+00	4.549885917607e-01	9.164822912475e-02	2.291205721513e+01	3.665929148256e+00	9.541750247634e+01
5118	2008	10	12	0	0		0.000000000000e+00	1.718308436353e-01	0.000000000000e+00	1.100040788437e+00	1.271871632073e+00	2.360912223291e-03	9.253463326531e-02	2.338053754188e-03	8.520265416318e-02	3.045077916262e-03	0.000000000000e+00	9.381654094692e+01	2.699243912469e+01	1.208089800716e+02	3.427198929301e-01	6.543250708020e-02	3.893919655173e-06	9.734799137933e-04	1.557567862069e-04	1.557934283902e-02	3.969302390903e+00	4.642704063121e-01	8.913153488996e-02	2.228288369409e+01	3.565261388404e+00	9.824129475528e+01
5118	2008	10	13	0	0		0.000000000000e+00	1.609797158264e-01	0.000000000000e+00	1.012037525362e+00	1.173017241189e+00	2.292443367646e-03	9.253463326531e-02	2.270439575225e-03	8.273867851829e-02	2.850680859113e-03	0.000000000000e+00	9.569996395539e+01	2.752530362393e+01	1.232252675793e+02	3.179267942485e-01	6.046035578907e-02	3.648018401581e-06	9.120046003952e-04	1.459207360632e-04	1.438548526695e-02	4.044609757315e+00	4.699679676948e-01	9.128919517786e-02	2.282229878888e+01	3.651567805699e+00	9.923415291866e+01
5118	2008	10	14	0	0		0.000000000000e+00	1.759000165636e-01	0.000000000000e+00	9.310745233334e-01	1.106974539897e+00	2.274119844233e-03	9.253463326531e-02	2.255349351504e-03	8.218876510822e-02	3.095092557712e-03	0.000000000000e+00	9.786720458340e+01	2.813200294943e+01	1.259992075328e+02	3.176908785413e-01	5.814335010921e-02	3.986132625270e-06	9.965331563175e-04	1.594453050108e-04	1.373861100225e-02	4.111111455463e+00	4.720410963466e-01	9.363829377432e-02	2.340957344248e+01	3.745531750693e+00	9.928261533781e+01
5118	2008	10	15	0	0		0.000000000000e+00	1.823515166843e-01	0.000000000000e+00	8.638652225116e-01	1.046216739196e+00	2.357271342692e-03	9.253463326531e-02	2.336919079060e-03	8.516130467222e-02	3.196980060610e-03	0.000000000000e+00	1.010460096312e+02	2.902186745442e+01	1.300678770856e+02	3.121081298960e-01	5.568125800877e-02	4.132136495699e-06	1.033034123759e-03	1.652854597858e-04	1.309388720396e-02	4.198980085376e+00	4.744781320031e-01	9.678748363508e-02	2.419687090587e+01	3.871499344668e+00	9.926203628962e+01
5118	2008	10	16	0	0		0.000000000000e+00	1.996535437021e-01	0.000000000000e+00	8.106765362821e-01	1.010330079984e+00	2.408138024753e-03	9.253463326531e-02	2.389832043032e-03	8.708954304656e-02	3.484881896614e-03	0.000000000000e+00	1.031453769843e+02	2.960795444778e+01	1.327533314320e+02	3.187443772722e-01	5.483822315747e-02	4.524041621401e-06	1.131010404766e-03	1.809616647079e-04	1.280474746828e-02	4.252415706545e+00	4.747042483306e-01	9.889099108883e-02	2.472274776136e+01	3.955639640806e+00	9.889786392417e+01
5118	2008	10	17	0	0		0.000000000000e+00	2.108801342578e-01	0.000000000000e+00	7.851555754100e-01	9.960357096677e-01	2.534223495569e-03	9.253463326531e-02	2.514881081839e-03	9.164654263986e-02	3.672179212090e-03	0.000000000000e+00	1.047867828591e+02	3.006298332937e+01	1.348497661884e+02	3.245502574289e-01	5.469588675147e-02	4.777627299197e-06	1.194406822710e-03	1.911050914387e-04	1.271844623945e-02	4.283644630458e+00	4.728555319321e-01	1.004174556978e-01	2.510436388634e+01	4.016698218258e+00	9.813039205175e+01
5118	2008	10	18	0	0		0.000000000000e+00	2.529480918992e-01	0.000000000000e+00	7.857047891225e-01	1.038652881022e+00	2.790451077011e-03	9.253463326531e-02	2.777046217633e-03	1.012002859439e-01	4.386891046665e-03	0.000000000000e+00	1.032710562892e+02	2.961571916296e+01	1.328867754522e+02	3.627582961853e-01	5.853224803775e-02	5.730494662789e-06	1.432623662720e-03	2.292197857573e-04	1.348696309315e-02	4.199236583524e+00	4.590318559325e-01	9.911468537277e-02	2.477867128352e+01	3.964587399793e+00	9.493502723479e+01
5118	2008	10	19	0	0		0.000000000000e+00	2.621731448891e-01	0.000000000000e+00	8.437070393603e-01	1.105880184249e+00	3.213519129199e-03	9.253463326531e-02	3.191870538497e-03	1.163171895163e-01	4.549072278170e-03	0.000000000000e+00	1.024935052409e+02	2.938152378672e+01	1.318750290277e+02	3.809155351359e-01	6.199098388156e-02	5.937973866613e-06	1.484493460510e-03	2.375189531083e-04	1.431015123065e-02	4.130949594480e+00	4.479583023300e-01	9.804423916203e-02	2.451105968687e+01	3.921769540227e+00	9.238072831662e+01
5118	2008	10	20	0	0		0.000000000000e+00	2.689662110670e-01	0.000000000000e+00	9.163028508396e-01	1.185269061907e+00	3.428502810202e-03	9.253463326531e-02	3.403134133595e-03	1.240159941303e-01	4.672563930420e-03	0.000000000000e+00	1.006645287242e+02	2.885925223289e+01	1.295237809571e+02	3.994014620988e-01	6.589597584948e-02	6.091662152896e-06	1.522915531663e-03	2.436664844536e-04	1.525566156766e-02	4.054094281228e+00	4.403575516179e-01	9.611013936158e-02	2.402753471938e+01	3.844405543806e+00	9.086736069371e+01
5118	2008	10	21	0	0		0.000000000000e+00	2.469367925669e-01	0.000000000000e+00	9.862823806821e-01	1.233219173249e+00	3.469809964902e-03	9.253463326531e-02	3.435641118009e-03	1.252006039135e-01	4.305878364536e-03	0.000000000000e+00	1.001153351860e+02	2.870902125455e+01	1.288243564405e+02	3.913157172259e-01	6.706969002836e-02	5.592175238014e-06	1.398043801971e-03	2.236870076122e-04	1.564898750067e-02	4.037511874411e+00	4.413535507987e-01	9.529744333874e-02	2.382436069571e+01	3.811897698342e+00	9.127889979167e+01
5118	2008	10	22	0	0		0.000000000000e+00	2.085832639924e-01	0.000000000000e+00	1.021554067776e+00	1.230137331768e+00	3.142037489265e-03	9.253463326531e-02	3.105046978344e-03	1.131531913594e-01	3.658621609664e-03	0.000000000000e+00	1.005830510889e+02	2.886015940396e+01	1.294432104928e+02	3.625769466838e-01	6.519494322326e-02	4.723836422451e-06	1.180959100152e-03	1.889534555147e-04	1.535396855118e-02	4.090729724463e+00	4.534214542467e-01	9.561597176510e-02	2.390399281058e+01	3.824638837494e+00	9.423216992313e+01
5118	2008	10	23	0	0		0.000000000000e+00	1.772842172274e-01	0.000000000000e+00	9.883546322971e-01	1.165638849525e+00	2.644938302771e-03	9.253463326531e-02	2.613786983412e-03	9.525084186150e-02	3.124635987705e-03	0.000000000000e+00	1.006489662409e+02	2.890404454704e+01	1.295530107880e+02	3.286557212057e-01	6.086239044375e-02	4.016870287003e-06	1.004217570996e-03	1.606748112888e-04	1.441222355767e-02	4.147384617563e+00	4.680712513702e-01	9.568469746484e-02	2.392117430001e+01	3.827387881822e+00	9.788087371150e+01
5118	2008	10	24	0	0		0.000000000000e+00	2.230640155853e-01	0.000000000000e+00	9.381777064054e-01	1.161241721991e+00	2.666336842089e-03	9.253463326531e-02	2.649989085072e-03	9.657010799993e-02	3.896996549521e-03	0.000000000000e+00	9.867412328933e+01	2.833395422631e+01	1.270080775156e+02	3.616234794735e-01	6.273781989199e-02	5.054266202578e-06	1.263566549592e-03	2.021706478365e-04	1.467360173824e-02	4.084825969781e+00	4.589320270086e-01	9.455323496672e-02	2.363830870959e+01	3.782129390539e+00	9.582235993425e+01
5118	2008	10	25	0	0		0.000000000000e+00	2.350052400170e-01	0.000000000000e+00	9.320237216165e-01	1.167028961634e+00	2.923644957330e-03	9.253463326531e-02	2.903065637193e-03	1.057926478618e-01	4.098014881050e-03	0.000000000000e+00	9.977297334815e+01	2.863134975446e+01	1.284043231026e+02	3.713357270882e-01	6.353472262476e-02	5.323220722714e-06	1.330805176023e-03	2.129288277292e-04	1.481903653710e-02	4.085429115846e+00	4.530724764308e-01	9.545629370134e-02	2.386407335004e+01	3.818251728978e+00	9.417686077906e+01
5118	2008	10	26	0	0		0.000000000000e+00	2.499505606073e-01	0.000000000000e+00	9.563717383956e-01	1.206322299003e+00	3.151881744346e-03	9.253463326531e-02	3.129733331760e-03	1.140528040518e-01	4.354359017793e-03	0.000000000000e+00	9.931975660593e+01	2.849310001874e+01	1.278128566247e+02	3.889984888259e-01	6.599069760045e-02	5.661334955315e-06	1.415333732837e-03	2.264533966946e-04	1.536540744181e-02	4.046331150558e+00	4.460058472957e-01	9.495236971844e-02	2.373809231775e+01	3.798094760400e+00	9.251098849173e+01
5118	2008	10	27	0	0		0.000000000000e+00	2.452243032301e-01	0.000000000000e+00	9.964439339596e-01	1.241668237190e+00	3.287431619407e-03	9.253463326531e-02	3.259523141037e-03	1.187825653816e-01	4.278213218871e-03	0.000000000000e+00	9.907072157527e+01	2.842031726617e+01	1.274910388414e+02	3.915058935963e-01	6.737655086486e-02	5.553753163584e-06	1.388438283897e-03	2.221501247702e-04	1.573338712176e-02	4.025103989467e+00	4.434102679299e-01	9.449262033280e-02	2.362315494967e+01	3.779704779485e+00	9.195404364587e+01
5118	2008	10	28	0	0		0.000000000000e+00	2.194363164673e-01	0.000000000000e+00	1.027752386605e+00	1.247188703073e+00	3.164054030425e-03	9.253463326531e-02	3.130948581140e-03	1.140970898054e-01	3.843749624821e-03	0.000000000000e+00	9.944388851796e+01	2.853541325253e+01	1.279793017705e+02	3.734664640780e-01	6.645947283845e-02	4.969737677737e-06	1.242434413720e-03	1.987895056618e-04	1.562092070530e-02	4.050358559354e+00	4.492876384217e-01	9.462119752200e-02	2.365529925157e+01	3.784847868218e+00	9.339767080584e+01
5118	2008	10	29	0	0		0.000000000000e+00	2.390626101065e-01	0.000000000000e+00	1.026495462980e+00	1.265558073087e+00	3.083212642067e-03	9.253463326531e-02	3.059968973311e-03	1.115104722105e-01	4.177878793660e-03	0.000000000000e+00	9.779304967661e+01	2.806923163995e+01	1.258622813166e+02	3.910806780249e-01	6.818528973883e-02	5.415433688494e-06	1.353858418116e-03	2.166173465245e-04	1.596323571892e-02	4.010084433020e+00	4.467871729215e-01	9.338530209033e-02	2.334632542243e+01	3.735412058241e+00	9.301973335982e+01
5118	2008	10	30	0	0		0.000000000000e+00	2.628444198966e-01	0.000000000000e+00	1.048825854679e+00	1.311670274575e+00	3.278124870341e-03	9.253463326531e-02	3.259429639858e-03	1.187791580397e-01	4.583840205949e-03	0.000000000000e+00	9.590309107732e+01	2.752278962808e+01	1.234258807054e+02	4.163923146260e-01	7.134899955679e-02	5.953342695459e-06	1.488335667647e-03	2.381337062432e-04	1.664658138409e-02	3.929259610439e+00	4.361602110858e-01	9.174635355743e-02	2.293658827576e+01	3.669854113519e+00	9.069078268097e+01
5118	2008	10	31	0	0		4.099797950000e+00	3.407797292171e-01	0.000000000000e+00	1.134820316769e+00	1.475600045986e+00	3.927487707956e-03	9.253463326531e-02	3.898969189479e-03	1.420850666282e-01	5.202516546668e-03	0.000000000000e+00	9.526082801682e+01	2.732399274167e+01	1.225848207585e+02	4.634843855675e-01	7.849414569461e-02	6.765254432998e-06	1.691313485916e-03	2.706101463288e-04	1.827048620581e-02	3.870408439165e+00	4.251640694459e-01	9.104173297131e-02	2.276043241902e+01	3.641669110153e+00	8.808267527073e+01
5118	2008	11	1	0	0		1.229939385000e+01	8.375100774967e-01	0.000000000000e+00	1.154589854340e+00	1.992099931837e+00	3.202738452552e-02	9.645287039510e-02	3.342272076531e-02	1.391245078297e+00	6.677431364141e-03	0.000000000000e+00	1.006907999228e+02	2.879209022305e+01	1.294828901459e+02	1.797337314582e+00	7.726484250430e-02	1.435931686022e-05	2.279282245958e-03	4.345809974309e-04	3.016140552122e-02	6.666375976383e+00	3.720143407273e-01	2.804180100631e-01	3.699151034238e+01	8.733164118633e+00	1.933852038157e+02
5118	2008	11	2	0	0		4.099797950000e+00	2.199179850145e-01	0.000000000000e+00	1.201954518311e+00	1.421872503325e+00	5.965872800125e-02	9.253463326531e-02	5.792995617997e-02	2.111066100704e+00	3.159510955912e-03	0.000000000000e+00	8.143354321316e+01	2.376080373058e+01	1.051943469437e+02	3.655284004728e-01	7.060023685171e-02	4.031100678479e-06	1.007775143112e-03	1.612440204238e-04	1.684383922214e-02	1.226657549650e+01	2.329450773083e-01	4.950091954423e-01	5.047242916322e+01	1.446978137452e+01	2.944731882836e+02
5118	2008	11	3	0	0		0.000000000000e+00	1.610452073206e-01	0.000000000000e+00	1.176740389324e+00	1.337785596644e+00	1.573176781852e-02	9.253463326531e-02	1.576703766070e-02	5.745776608328e-01	2.869662473676e-03	0.000000000000e+00	5.547106626327e+01	1.656942404975e+01	7.204049031303e+01	3.459367691044e-01	6.792684075414e-02	3.648444659015e-06	9.121111636272e-04	1.459377860752e-04	1.625202126289e-02	9.395226121488e+00	2.167124319912e-01	3.072211344253e-01	3.343037249611e+01	9.159807024336e+00	1.858857947471e+02
5118	2008	11	4	0	0		2.459878770000e+01	5.970536725675e+00	0.000000000000e+00	1.284833400806e+00	7.255370126481e+00	1.479474938098e-01	1.575447175456e-01	1.457232573298e-01	9.150685528616e+00	3.576623370292e-02	2.121237462862e-01	4.146635800037e+01	2.905647945902e+01	7.073496120567e+01	1.533916301043e+01	1.994585993512e-01	3.066841745557e-04	3.200778190360e-02	8.560729612034e-03	1.879378616073e-01	1.052804026261e+01	3.036136760152e-01	6.368800801131e-01	6.427940336335e+01	1.868756062361e+01	3.495766460999e+02
5118	2008	11	5	0	0		0.000000000000e+00	1.168496118424e-01	0.000000000000e+00	1.296949652384e+00	1.413799264227e+00	3.822791258925e-02	9.253463326531e-02	3.643832533032e-02	1.327874530619e+00	2.132063047918e-03	0.000000000000e+00	2.068805905857e+01	2.680585029425e+01	4.749390935282e+01	3.263024402238e-01	6.936853876512e-02	2.646816800051e-06	6.617041991823e-04	1.058726717917e-04	1.681277133581e-02	8.153787597255e+00	2.798710906977e-01	5.131117765037e-01	5.232189508646e+01	1.534369465041e+01	2.857069524187e+02
5118	2008	11	6	0	0		0.000000000000e+00	9.759320583160e-02	0.000000000000e+00	1.208490337379e+00	1.306083543211e+00	6.228458290950e-03	9.253463326531e-02	5.981328328465e-03	2.179697742594e-01	1.795623253528e-03	0.000000000000e+00	3.592666133876e+01	2.228767609074e+01	5.821433742951e+01	2.938589645314e-01	6.361843132765e-02	2.211593882110e-06	5.528984705274e-04	8.846375528439e-05	1.546228905549e-02	5.701799020443e+00	2.999216843670e-01	3.009141256456e-01	3.426887383837e+01	9.245433352223e+00	1.863733938220e+02
5118	2008	11	7	0	0		0.000000000000e+00	1.010003275254e-01	0.000000000000e+00	1.111962229569e+00	1.212962557095e+00	2.380703884698e-03	9.253463326531e-02	2.339557046515e-03	8.525743669161e-02	1.842593660658e-03	0.000000000000e+00	5.870449030758e+01	1.954736538797e+01	7.825185569555e+01	2.805414456616e-01	5.955235735734e-02	2.288804222861e-06	5.722010557153e-04	9.155216891445e-05	1.443032849476e-02	3.673894096339e+00	3.645747756402e-01	1.147384212107e-01	1.959782741727e+01	3.969425423437e+00	1.063816502628e+02
5118	2008	11	8	0	0		0.000000000000e+00	1.088898819016e-01	0.000000000000e+00	1.023005251204e+00	1.131895133105e+00	2.049672795491e-03	9.253463326531e-02	2.030613689493e-03	7.399901546960e-02	1.966605065090e-03	0.000000000000e+00	6.919947590570e+01	2.026368997846e+01	8.946316588416e+01	2.725738230525e-01	5.623573807314e-02	2.467592211129e-06	6.168980527823e-04	9.870368844517e-05	1.356541607606e-02	3.235860091829e+00	3.916429614081e-01	7.203394309403e-02	1.702600733089e+01	2.814004097598e+00	8.767413057333e+01
