"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
5120,13431,"Agriculture-D-High-Confined",2,0,0.01,400
5120,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
5120,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
5120,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
5120,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
5120,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
5120,14221,"Veg_Low-B-Med-Confined",2,0.00423,0.01,300
5120,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
5120,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
5120,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
5120,14321,"Veg_Low-C-Med-Confined",2,0,0.01,300
5120,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
5120,14331,"Veg_Low-C-High-Confined",2,0,0.01,400
5120,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
5120,14421,"Veg_Low-D-Med-Confined",2,83.983733,0.01,300
5120,14422,"Veg_Low-D-Med-Unconfined",2,26.385683,0.01,300
5120,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
5120,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
5120,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
5120,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
5120,15131,"Veg_High-A-High-Confined",2,0,0.01,400
5120,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
5120,15221,"Veg_High-B-Med-Confined",2,0.01756,0.01,300
5120,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
5120,15231,"Veg_High-B-High-Confined",2,0,0.01,400
5120,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
5120,15321,"Veg_High-C-Med-Confined",2,0,0.01,300
5120,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
5120,15331,"Veg_High-C-High-Confined",2,0,0.01,400
5120,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
5120,15421,"Veg_High-D-Med-Confined",2,45.225476,0.01,300
5120,15422,"Veg_High-D-Med-Unconfined",2,14.650406,0.01,300
5120,15431,"Veg_High-D-High-Confined",2,0,0.01,400
5120,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
5120,16000,"Water-All-All-All",1,0,0.01,100
5121,1000,"Road_Freeway-All-All-All",1,11.010255,0.01,100
5121,2000,"Road_Primary-All-All-All",1,11.848654,0.01,100
5121,3000,"Road_Minor-All-All-All",1,43.069121,0.01,100
5121,4000,"Dev_ResHigh-All-All-All",1,4.013026,0.01,100
5121,5000,"Dev_ResLow-All-All-All",1,144.206136,0.01,100
5121,6000,"Dev_Com-All-All-All",1,7.369195,0.01,100
5121,7000,"Dev_Ind-All-All-All",1,0.107585,0.01,100
5121,8000,"Dev_Inst-All-All-All",1,11.752267,0.01,100
5121,9000,"Dev_Roof-All-All-All",1,91.236811,0.01,100
5121,10000,"Dev_Overspray-All-All-All",1,5.21388,0.01,100
5121,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
5121,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
5121,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
5121,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
5121,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
5121,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
5121,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
5121,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
5121,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
5121,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
5121,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
5121,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
5121,11411,"Dev_Irrigated-D-Low-Confined",2,104.277592,0.01,400
5121,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
5121,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
5121,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
5121,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
5121,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
5121,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
5121,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
5121,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
5121,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
5121,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
5121,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
5121,12311,"Dev_Pervious-C-Low-Confined",2,0,0.01,400
5121,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
5121,12321,"Dev_Pervious-C-Med-Confined",2,0,0.01,300
5121,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
5121,12411,"Dev_Pervious-D-Low-Confined",2,157.780251,0.01,400
5121,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
5121,12421,"Dev_Pervious-D-Med-Confined",2,0,0.01,300
5121,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
5121,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
5121,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
5121,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
5121,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
5121,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
5121,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
5121,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
5121,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
5121,13231,"Agriculture-B-High-Confined",2,0,0.01,400
5121,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
5121,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
5121,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
5121,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
5121,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
5121,13331,"Agriculture-C-High-Confined",2,0,0.01,400
5121,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
5121,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
5121,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
5121,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
5121,13431,"Agriculture-D-High-Confined",2,0,0.01,400
5121,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
5121,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
5121,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
5121,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
5121,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
5121,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
5121,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
5121,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
5121,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
5121,14321,"Veg_Low-C-Med-Confined",2,0,0.01,300
5121,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
5121,14331,"Veg_Low-C-High-Confined",2,0,0.01,400
5121,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
5121,14421,"Veg_Low-D-Med-Confined",2,77.49703,0.01,300
5121,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
5121,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
5121,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
5121,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
5121,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
5121,15131,"Veg_High-A-High-Confined",2,0,0.01,400
5121,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
5121,15221,"Veg_High-B-Med-Confined",2,0,0.01,300
5121,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
5121,15231,"Veg_High-B-High-Confined",2,0,0.01,400
5121,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
5121,15321,"Veg_High-C-Med-Confined",2,0,0.01,300
5121,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
5121,15331,"Veg_High-C-High-Confined",2,0,0.01,400
5121,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
5121,15421,"Veg_High-D-Med-Confined",2,52.306345,0.01,300
5121,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
5121,15431,"Veg_High-D-High-Confined",2,0,0.01,400
5121,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
5121,16000,"Water-All-All-All",1,0,0.01,100
5122,1000,"Road_Freeway-All-All-All",1,18.126655,0.01,100
5122,2000,"Road_Primary-All-All-All",1,19.278238,0.01,100
5122,3000,"Road_Minor-All-All-All",1,39.568866,0.01,100
5122,4000,"Dev_ResHigh-All-All-All",1,6.98551,0.01,100
5122,5000,"Dev_ResLow-All-All-All",1,141.15055,0.01,100
5122,6000,"Dev_Com-All-All-All",1,27.052436,0.01,100
5122,7000,"Dev_Ind-All-All-All",1,2.348775,0.01,100
5122,8000,"Dev_Inst-All-All-All",1,13.65305,0.01,100
5122,9000,"Dev_Roof-All-All-All",1,88.627431,0.01,100
5122,10000,"Dev_Overspray-All-All-All",1,2.841324,0.01,100
5122,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
5122,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
5122,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
5122,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
5122,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
5122,11212,"Dev_Irrigated-B-Low-Unconfined",2,2e-04,0.01,400
5122,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
5122,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
5122,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
