"subbasin","year","month","day","...5","...6","...7","TT PREC     precipitation (rain + snow) volume (in-acre/day)","TT SURO     surface outflow volume (in-acre/day)","TT IFWO     interflow outflow volume (in-acre/day)","TT AGWO     groundwater outflow volume (in-acre/day)","TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)","TT DEP      stream depth (ft)","TT AVDEP    stream average depth (ft)","TT TAU      bed shear stress (kg/m^2)","TT RO       total rate of outflow from RCHRES (cfs)","TT SOSED    sediments load from land (english tons/day)","TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)","TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day)","TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day)","TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day)","TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day)","TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day)","TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day)","TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)","TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)","TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)","TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)","TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)","TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)"
6873,2011,10,1,0,0,NA,0,0.02542742523267,0,0.2481006119035,0.2735280371362,0,0,0,0.002110672172634,0.0004593029446566,7.575060546569,53.19003384779,15.47935538396,76.24444977832,0.03986379669398,0.01354428273342,5.749227724733e-07,0.0001437306858774,2.299690906456e-05,0.003271086168445,2.168176807116,0.3007731249003,0.05050050783759,12.62512632336,2.020020152374,65.09318313455
6873,2011,10,2,0,0,NA,0,0.02591175109515,0,0.2322592437554,0.2581709948505,0,0,0,0.002064464837484,0.0004667124803065,7.909927209515,55.52704692773,16.13496734128,79.57194147852,0.03927774220188,0.01287539960499,5.871953763058e-07,0.0001467988440764,2.348781505223e-05,0.003101410825986,2.251119545922,0.3054659214012,0.05273296070061,13.18324017515,2.109318428024,65.81988821018
6873,2011,10,3,0,0,NA,0,0.02885635576608,0,0.214750658155,0.2436070139211,0,0,0,0.002114618753948,0.0005147034752809,8.598628146845,60.3326208552,17.48170438537,86.41295338741,0.04075276527025,0.0123483958629,6.538285743304e-07,0.00016345714336,2.615314291683e-05,0.002956333252076,2.420974336649,0.3146318679514,0.05732430997715,14.33107747477,2.292972394142,67.19310509909
6873,2011,10,4,0,0,NA,0,0.04588095520736,0,0.201612127394,0.2474930826014,0,0,0,0.002774688306097,0.000802059192587,10.41309601431,72.99342784196,21.02970934454,104.4362332008,0.05526460867422,0.01329342747853,1.038954951626e-06,0.0002597387340097,4.155819707786e-05,0.003115565900609,2.868414768217,0.3387387163902,0.06942078687327,17.35519645794,2.77683140897,70.80052314626
6873,2011,10,5,0,0,NA,51.878403135,20.77167585241,0.0117347789885,0.444943773511,21.22835440491,0,0,0,0.8750612868261,0.5136647755975,21.76379510002,152.3472958831,43.52934756914,217.6404385523,31.91593123176,1.675872676235,0.005028872799875,0.5041546347135,0.3226522050359,2.079892212947,6.756246069513,0.351221076565,1.065465025911,106.8150164688,68.36017805172,439.7045018086
6873,2011,10,6,0,0,NA,0,0.03652507476945,0.009431048899355,0.6525048723282,0.698460995997,0,0,0,0.004672222194131,0.0006933735810041,4.907530707472,34.57655244727,10.26276131566,49.7468444704,0.0794770084541,0.03372615708666,8.244969976604e-07,0.0002061242213894,3.297987280658e-05,0.008052919683281,1.569508668455,0.2821403471858,0.03271693484084,8.179232598121,1.308677111904,55.51105100519
6873,2011,10,7,0,0,NA,0,0.03574848442046,0.002885182714307,0.6181577411206,0.6567914082554,0,0,0,0.004220271663495,0.0006761084490104,5.322096531001,37.46936661624,11.07359853086,53.8650616781,0.07498487855704,0.03150873022912,8.076547108574e-07,0.0002019136536601,3.230618234056e-05,0.007650269598428,1.632568557181,0.2764903048564,0.03548071322105,8.870177248549,1.419228261141,59.15416581428
6873,2011,10,8,0,0,NA,0,0.03230053996745,0.0009083084437301,0.5831128223176,0.6163216707287,0,0,0,0.003845116599929,0.0006138078993189,5.281021979693,37.18283258992,10.99341816741,53.45727273702,0.06905542018993,0.02943130736782,7.301802563459e-07,0.0001825450485837,2.920720632645e-05,0.00719120737583,1.609342327852,0.272225711757,0.03520688408071,8.801720272681,1.408275173863,60.02258673571
6873,2011,10,9,0,0,NA,0,0.03167869224699,0.0002004460816601,0.5466731796862,0.5785523180148,0,0,0,0.0036361531986,0.0005994934899556,5.481463170317,38.5815583153,11.38556978901,55.44859127463,0.06587874168605,0.0276617043237,7.167064101207e-07,0.0001791765927219,2.866825392008e-05,0.006767542472813,1.653538299844,0.2734296356818,0.03654316296855,9.135790242039,1.46172639205,60.81717387394
6873,2011,10,10,0,0,NA,0,0.03306442676026,0,0.5115913473325,0.5446557740928,0,0,0,0.003538559354415,0.0006190749091526,5.879722813099,41.36052580358,12.16439013937,59.40463875605,0.06470586781224,0.02617928667411,7.481453004844e-07,0.0001870363146497,2.992580936663e-05,0.006395192665674,1.750155369673,0.2782770575401,0.03919823264455,9.799557612502,1.567929166794,61.72962085531
