"subbasin","deluid","deluname","lutype","acrea_ac","slsur","lsur"
6873,1000,"Road_Freeway-All-All-All",1,0,0.01,100
6873,2000,"Road_Primary-All-All-All",1,1.537356,0.01,100
6873,3000,"Road_Minor-All-All-All",1,0.612249,0.01,100
6873,4000,"Dev_ResHigh-All-All-All",1,0.483202,0.01,100
6873,5000,"Dev_ResLow-All-All-All",1,10.387188,0.02,100
6873,6000,"Dev_Com-All-All-All",1,0.564588,0.01,100
6873,7000,"Dev_Ind-All-All-All",1,0,0.01,100
6873,8000,"Dev_Inst-All-All-All",1,18.234359,0.01,100
6873,9000,"Dev_Roof-All-All-All",1,10.1957,0.01,100
6873,10000,"Dev_Overspray-All-All-All",1,0.599212,0.01,100
6873,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6873,11112,"Dev_Irrigated-A-Low-Unconfined",2,11.968492,0.01,400
6873,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6873,11122,"Dev_Irrigated-A-Med-Unconfined",2,0.015756,0.04,300
6873,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6873,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
6873,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6873,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
6873,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
6873,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6873,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
6873,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6873,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.01,400
6873,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
6873,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
6873,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6873,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6873,12112,"Dev_Pervious-A-Low-Unconfined",2,30.84813,0.02,400
6873,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6873,12122,"Dev_Pervious-A-Med-Unconfined",2,0.040609,0.04,300
6873,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6873,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
6873,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6873,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
