rchid,permit,pipe,parmname,value1
5142,WRF-SJC001A,1,PS_GQUAL_TZn,4.877400227853e+02
5306,F209,1,PS_FLOW,0.000000000000e+00
5306,F209,1,PS_SAND,0.000000000000e+00
5306,F209,1,PS_SILT,0.000000000000e+00
5306,F209,1,PS_CLAY,0.000000000000e+00
5306,F209,1,PS_GQUAL_TN,0.000000000000e+00
5306,F209,1,PS_GQUAL_TP,0.000000000000e+00
5306,F209,1,PS_GQUAL_TCd,0.000000000000e+00
5306,F209,1,PS_GQUAL_TCu,0.000000000000e+00
5306,F209,1,PS_GQUAL_TPb,0.000000000000e+00
5306,F209,1,PS_GQUAL_TZn,0.000000000000e+00
5413,F303,1,PS_FLOW,0.000000000000e+00
5413,F303,1,PS_SAND,0.000000000000e+00
5413,F303,1,PS_SILT,0.000000000000e+00
5413,F303,1,PS_CLAY,0.000000000000e+00
5413,F303,1,PS_GQUAL_TN,0.000000000000e+00
5413,F303,1,PS_GQUAL_TP,0.000000000000e+00
5413,F303,1,PS_GQUAL_TCd,0.000000000000e+00
5413,F303,1,PS_GQUAL_TCu,0.000000000000e+00
5413,F303,1,PS_GQUAL_TPb,0.000000000000e+00
5413,F303,1,PS_GQUAL_TZn,0.000000000000e+00
5213,WRF-Pom,1,PS_FLOW,2.268798602050e+08
5213,WRF-Pom,1,PS_SAND,0.000000000000e+00
5213,WRF-Pom,1,PS_SILT,0.000000000000e+00
5213,WRF-Pom,1,PS_CLAY,0.000000000000e+00
5213,WRF-Pom,1,PS_GQUAL_TN,2.215530229446e+05
5213,WRF-Pom,1,PS_GQUAL_TP,3.062511476177e+03
5213,WRF-Pom,1,PS_GQUAL_TCd,6.091377365093e+01
5213,WRF-Pom,1,PS_GQUAL_TCu,2.819212501301e+02
5213,WRF-Pom,1,PS_GQUAL_TPb,8.146774628039e+01
5213,WRF-Pom,1,PS_GQUAL_TZn,5.188543941047e+02
5412,F218,1,PS_FLOW,0.000000000000e+00
5412,F218,1,PS_SAND,0.000000000000e+00
5412,F218,1,PS_SILT,0.000000000000e+00
5412,F218,1,PS_CLAY,0.000000000000e+00
5412,F218,1,PS_GQUAL_TN,0.000000000000e+00
5412,F218,1,PS_GQUAL_TP,0.000000000000e+00
5412,F218,1,PS_GQUAL_TCd,0.000000000000e+00
5412,F218,1,PS_GQUAL_TCu,0.000000000000e+00
5412,F218,1,PS_GQUAL_TPb,0.000000000000e+00
5412,F218,1,PS_GQUAL_TZn,0.000000000000e+00
5485,intake-9010,1,PS_FLOW,0.000000000000e+00
5485,intake-9010,1,PS_SAND,0.000000000000e+00
5485,intake-9010,1,PS_SILT,0.000000000000e+00
5485,intake-9010,1,PS_CLAY,0.000000000000e+00
5485,intake-9010,1,PS_GQUAL_TN,0.000000000000e+00
5485,intake-9010,1,PS_GQUAL_TP,0.000000000000e+00
5485,intake-9010,1,PS_GQUAL_TCd,0.000000000000e+00
5485,intake-9010,1,PS_GQUAL_TCu,0.000000000000e+00
5485,intake-9010,1,PS_GQUAL_TPb,0.000000000000e+00
5485,intake-9010,1,PS_GQUAL_TZn,0.000000000000e+00
