"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
6480,1000,"Road_Freeway-All-All-All",1,16.056989,0.15,100
6480,2000,"Road_Primary-All-All-All",1,29.352986,0.06,100
6480,3000,"Road_Minor-All-All-All",1,60.628912,0.08,100
6480,4000,"Dev_ResHigh-All-All-All",1,22.238089,0.07,100
6480,5000,"Dev_ResLow-All-All-All",1,204.67429,0.18,100
6480,6000,"Dev_Com-All-All-All",1,17.014073,0.04,100
6480,7000,"Dev_Ind-All-All-All",1,4.415696,0.01,100
6480,8000,"Dev_Inst-All-All-All",1,9.495838,0.05,100
6480,9000,"Dev_Roof-All-All-All",1,106.605994,0.07,100
6480,10000,"Dev_Overspray-All-All-All",1,10.707543,0.17,100
6480,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6480,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6480,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6480,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6480,11211,"Dev_Irrigated-B-Low-Confined",2,2.506813,0.07,400
6480,11212,"Dev_Irrigated-B-Low-Unconfined",2,14.606451,0.06,400
6480,11221,"Dev_Irrigated-B-Med-Confined",2,0.084189,0.2,300
6480,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.18,300
6480,11311,"Dev_Irrigated-C-Low-Confined",2,0.091882,0.14,400
6480,11312,"Dev_Irrigated-C-Low-Unconfined",2,0.054022,0.11,400
6480,11321,"Dev_Irrigated-C-Med-Confined",2,18.500765,0.3,300
6480,11322,"Dev_Irrigated-C-Med-Unconfined",2,2.101614,0.22,300
6480,11411,"Dev_Irrigated-D-Low-Confined",2,8.704159,0.12,400
6480,11412,"Dev_Irrigated-D-Low-Unconfined",2,57.10094,0.04,400
6480,11421,"Dev_Irrigated-D-Med-Confined",2,109.174327,0.2,300
6480,11422,"Dev_Irrigated-D-Med-Unconfined",2,1.225704,0.06,300
6480,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6480,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6480,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6480,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6480,12211,"Dev_Pervious-B-Low-Confined",2,6.446233,0.07,400
6480,12212,"Dev_Pervious-B-Low-Unconfined",2,37.560277,0.05,400
6480,12221,"Dev_Pervious-B-Med-Confined",2,0.216492,0.04,300
6480,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6480,12311,"Dev_Pervious-C-Low-Confined",2,0.236273,0.14,400
6480,12312,"Dev_Pervious-C-Low-Unconfined",2,0.138916,0.11,400
6480,12321,"Dev_Pervious-C-Med-Confined",2,47.574447,0.1,300
6480,12322,"Dev_Pervious-C-Med-Unconfined",2,5.40427,0.08,300
6480,12411,"Dev_Pervious-D-Low-Confined",2,22.382618,0.1,400
6480,12412,"Dev_Pervious-D-Low-Unconfined",2,146.834236,0.04,400
6480,12421,"Dev_Pervious-D-Med-Confined",2,280.740192,0.2,300
6480,12422,"Dev_Pervious-D-Med-Unconfined",2,3.151879,0.08,300
6480,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6480,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6480,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6480,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6480,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6480,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6480,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6480,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6480,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6480,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6480,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6480,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6480,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6480,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6480,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6480,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6480,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6480,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6480,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6480,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6480,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6480,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6480,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6480,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6480,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6480,14221,"Veg_Low-B-Med-Confined",2,2.080798,0.1,300
6480,14222,"Veg_Low-B-Med-Unconfined",2,8.355136,0.1,300
6480,14231,"Veg_Low-B-High-Confined",2,2.508936,0.31,400
6480,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6480,14321,"Veg_Low-C-Med-Confined",2,11.51095,0.1,300
