"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
6387,15421,"Veg_High-D-Med-Confined",2,0,0.01,300
6387,15422,"Veg_High-D-Med-Unconfined",2,2.30976,0.01,300
6387,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6387,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6387,16000,"Water-All-All-All",1,10.036392,0.01,100
6388,1000,"Road_Freeway-All-All-All",1,0,0.01,100
6388,2000,"Road_Primary-All-All-All",1,23.512269,0.05,100
6388,3000,"Road_Minor-All-All-All",1,9.218716,0.03,100
6388,4000,"Dev_ResHigh-All-All-All",1,1.65234,0.08,100
6388,5000,"Dev_ResLow-All-All-All",1,31.010593,0.1,100
6388,6000,"Dev_Com-All-All-All",1,27.204356,0.03,100
6388,7000,"Dev_Ind-All-All-All",1,5.687571,0.01,100
6388,8000,"Dev_Inst-All-All-All",1,15.11477,0.12,100
6388,9000,"Dev_Roof-All-All-All",1,67.137762,0.05,100
6388,10000,"Dev_Overspray-All-All-All",1,0.563449,0.1,100
6388,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6388,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6388,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6388,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6388,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6388,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
6388,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6388,11222,"Dev_Irrigated-B-Med-Unconfined",2,0.006121,0.08,300
6388,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
6388,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6388,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
6388,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6388,11411,"Dev_Irrigated-D-Low-Confined",2,1.165113,0.11,400
6388,11412,"Dev_Irrigated-D-Low-Unconfined",2,8.472559,0.01,400
6388,11421,"Dev_Irrigated-D-Med-Confined",2,1.625182,0.18,300
6388,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6388,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6388,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6388,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6388,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6388,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6388,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
6388,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6388,12222,"Dev_Pervious-B-Med-Unconfined",2,0.015777,0.08,300
6388,12311,"Dev_Pervious-C-Low-Confined",2,0,0.01,400
6388,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6388,12321,"Dev_Pervious-C-Med-Confined",2,0,0.01,300
6388,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6388,12411,"Dev_Pervious-D-Low-Confined",2,3.003015,0.13,400
6388,12412,"Dev_Pervious-D-Low-Unconfined",2,21.837556,0.01,400
6388,12421,"Dev_Pervious-D-Med-Confined",2,4.188818,0.18,300
6388,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6388,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6388,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6388,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6388,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6388,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6388,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6388,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6388,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6388,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6388,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6388,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6388,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6388,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
