rchid,permit,pipe,parmname,value1
6726,intake-9026,1,PS_GQUAL_TZn,0.000000000000e+00
6681,intake-9024,1,PS_FLOW,0.000000000000e+00
6681,intake-9024,1,PS_SAND,0.000000000000e+00
6681,intake-9024,1,PS_SILT,0.000000000000e+00
6681,intake-9024,1,PS_CLAY,0.000000000000e+00
6681,intake-9024,1,PS_GQUAL_TN,0.000000000000e+00
6681,intake-9024,1,PS_GQUAL_TP,0.000000000000e+00
6681,intake-9024,1,PS_GQUAL_TCd,0.000000000000e+00
6681,intake-9024,1,PS_GQUAL_TCu,0.000000000000e+00
6681,intake-9024,1,PS_GQUAL_TPb,0.000000000000e+00
6681,intake-9024,1,PS_GQUAL_TZn,0.000000000000e+00
6509,WRF-LAG,1,PS_FLOW,3.628137160171e+08
6509,WRF-LAG,1,PS_SAND,0.000000000000e+00
6509,WRF-LAG,1,PS_SILT,0.000000000000e+00
6509,WRF-LAG,1,PS_CLAY,0.000000000000e+00
6509,WRF-LAG,1,PS_GQUAL_TN,3.327263787849e+05
6509,WRF-LAG,1,PS_GQUAL_TP,3.578677185024e+04
6509,WRF-LAG,1,PS_GQUAL_TCd,1.811988448114e+00
6509,WRF-LAG,1,PS_GQUAL_TCu,2.978456011587e+02
6509,WRF-LAG,1,PS_GQUAL_TPb,6.794956680426e+01
6509,WRF-LAG,1,PS_GQUAL_TZn,1.164202577913e+03
