"subbasin","year","month","day","...5","...6","...7","TT PREC     precipitation (rain + snow) volume (in-acre/day)","TT SURO     surface outflow volume (in-acre/day)","TT IFWO     interflow outflow volume (in-acre/day)","TT AGWO     groundwater outflow volume (in-acre/day)","TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)","TT DEP      stream depth (ft)","TT AVDEP    stream average depth (ft)","TT TAU      bed shear stress (kg/m^2)","TT RO       total rate of outflow from RCHRES (cfs)","TT SOSED    sediments load from land (english tons/day)","TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)","TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)","TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day)","TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day)","TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day)","TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day)","TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day)","TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day)","TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)","TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)","TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)","TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)","TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)","TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)"
2122,2012,7,31,0,0,NA,0,1.596500568252,2.351390688531,21.00326426888,24.95115552566,0.03012419693117,0.02978060756303,0.3882304820505,0.2499683191475,0.02555060873539,0,24.1583271213,7.192702765303,31.3510298866,6.039196051553,1.287160888008,3.060909603581e-05,0.007637977319467,0.001220742013429,0.2624608601587,2.093294288797,0.3185673659002,0.02275001443572,5.67696335607,0.9073303800377,35.89193458674
2122,2012,8,1,0,0,NA,0,1.580438240901,2.650825574954,21.15350970381,25.38477351966,0.03108731648079,0.03070653920429,0.4002776301221,0.2628407370305,0.02679239811698,0,24.04662470352,7.164887740265,31.21151244379,6.203278920266,1.327466177522,3.21944429831e-05,0.008034812856771,0.00128428225411,0.2654317862721,2.093241184608,0.326488725256,0.02266570846918,5.656457968621,0.9041028211031,35.04952699209
2122,2012,8,2,0,0,NA,0,1.548925438067,2.824754511542,21.33347726962,25.70715721923,0.03159817169407,0.03120173043149,0.4067288312039,0.2697338668966,0.02689174126643,0,23.61971181677,7.046944095985,30.66665591276,6.290790312207,1.351708850219,3.226878935983e-05,0.008054349803285,0.001287496865103,0.2675309246283,2.080139103918,0.3306564642479,0.02219944718957,5.541015649735,0.8857368635095,34.37523357876
2122,2012,8,3,0,0,NA,0,1.546083641012,2.900221533352,21.51042834804,25.95673352241,0.03190839487727,0.03149343491929,0.4105320147306,0.2737975811757,0.02686574308347,0,23.24484951122,6.941459693565,30.18630920479,6.352789500489,1.366278425687,3.219585043308e-05,0.008036143789418,0.001284586583214,0.2694775643584,2.074299477866,0.3310278786145,0.02182277629802,5.446970699671,0.8707011302961,33.95114544961
2122,2012,8,4,0,0,NA,0,1.551782213692,2.802564663132,21.63483247336,25.98917935018,0.03162848726968,0.03121431686324,0.4068927241475,0.2699089870533,0.02635835599769,0,23.04239585104,6.884000111557,29.92639596259,6.328922240127,1.360346332009,3.151094372172e-05,0.007865806653823,0.001257415665462,0.270339696402,2.075159435008,0.3287087515955,0.02163581065691,5.400782283706,0.8633625965443,34.12768364624
2122,2012,8,5,0,0,NA,0,1.596009759107,2.713779853512,21.71807381074,26.02786342336,0.03144889060848,0.03104949104299,0.4047447760047,0.2676138973008,0.02621425421499,0,23.13041520152,6.90716507882,30.03758028034,6.334374896323,1.35529918787,3.132705591858e-05,0.007818318883664,0.001249676145761,0.2711349584487,2.083808224184,0.3256810431038,0.02172065898404,5.421083868342,0.8665258703523,34.41537958797
2122,2012,8,6,0,0,NA,0,1.583213465151,2.721982888011,21.79401585803,26.0992122112,0.0315321577536,0.03113011401708,0.405795577536,0.2687366822407,0.02673314595273,0,23.43488136901,6.992819900319,30.42770126932,6.347667100051,1.362200812126,3.200666170631e-05,0.007988125926896,0.001276836461666,0.2725390675564,2.081529312873,0.325919839721,0.0220528667805,5.503716194502,0.8797078777288,34.67756617378
2122,2012,8,7,0,0,NA,0,1.617619446211,2.971807191161,21.94628075677,26.53570739414,0.03247593862455,0.03207396870908,0.4181102001299,0.2818948975426,0.02774754614244,0,23.27879236991,6.948508693879,30.22730106379,6.523983577196,1.396897995724,3.331655715651e-05,0.00831189627964,0.00132829405719,0.2753102731325,2.078991946296,0.3290100224854,0.02192857678026,5.470935851092,0.8743036240706,33.93121019118
2122,2012,8,8,0,0,NA,0,1.615877794374,3.196083142837,22.15646681122,26.96842774844,0.03331821775455,0.03286927608863,0.4284987616005,0.2929951101123,0.0277421402858,0,22.40334717018,6.701755231876,29.10510240206,6.659704264859,1.426462649055,3.324344595638e-05,0.008293673038435,0.001325383430755,0.277633363612,2.068873836466,0.3305738535131,0.0210494788847,5.251500969861,0.8392257383885,32.7215953791
2122,2012,8,9,0,0,NA,0,1.616284790712,3.166887442645,22.32240409057,27.10557632392,0.03328988124856,0.03282190683685,0.4278795796687,0.2923335121535,0.0272284271688,0,22.03337268039,6.597256852376,28.63062953276,6.669436654035,1.428520440615,3.25312787282e-05,0.008116972477428,0.001297236523957,0.2789445269135,2.066604801269,0.3289760156575,0.02065828972294,5.15441937575,0.8237594816546,32.54615681895
