subbasin,deluid,parmname,value1
1061,1000,AREA,3.530015299996e+01
1061,1000,PREC,5.184317978799e+02
1061,1000,SURO,4.818674945783e+02
1061,1000,IFWO,0.000000000000e+00
1061,1000,AGWO,0.000000000000e+00
1061,1000,PERO,4.818674945783e+02
1061,1000,TAET,3.656430330160e+01
1061,1000,SEDLOAD,2.268496896766e+00
1061,1000,SEDWSSD, 2.26850e+00
1061,1000,SEDSCRS, 0.00000e+00
1061,1000,SEDSURO, 0.00000e+00
1061,1000,SEDIFWO, 0.00000e+00
1061,1000,SEDAGWO, 0.00000e+00
1061,1000,SO_TN,1.144493444912e+01
1061,1000,IO_TN,0.000000000000e+00
1061,1000,AO_TN,0.000000000000e+00
1061,1000,PO_TN,1.144493444912e+01
1061,1000,SO_TP,1.012316740182e+01
1061,1000,IO_TP,0.000000000000e+00
1061,1000,AO_TP,0.000000000000e+00
1061,1000,PO_TP,1.012316740182e+01
1061,1000,SED_TP,1.012316740182e+01
1061,1000,SEDWSSD_TP,1.012316740182e+01
1061,1000,SEDSCRS_TP,0.000000000000e+00
1061,1000,SO_TCd,3.969869569341e-02
1061,1000,IO_TCd,0.000000000000e+00
1061,1000,AO_TCd,0.000000000000e+00
1061,1000,PO_TCd,3.969869569341e-02
1061,1000,SED_TCd,3.969869569341e-02
1061,1000,SEDWSSD_TCd,3.969869569341e-02
1061,1000,SEDSCRS_TCd,0.000000000000e+00
1061,1000,SO_TCu,3.969869569341e+00
1061,1000,IO_TCu,0.000000000000e+00
1061,1000,AO_TCu,0.000000000000e+00
1061,1000,PO_TCu,3.969869569341e+00
1061,1000,SED_TCu,3.969869569341e+00
1061,1000,SEDWSSD_TCu,3.969869569341e+00
1061,1000,SEDSCRS_TCu,0.000000000000e+00
1061,1000,SO_TPb,6.439875708650e+00
1061,1000,IO_TPb,0.000000000000e+00
1061,1000,AO_TPb,0.000000000000e+00
1061,1000,PO_TPb,6.439875708650e+00
1061,1000,SED_TPb,9.799906594030e-01
1061,1000,SEDWSSD_TPb,9.799906594030e-01
1061,1000,SEDSCRS_TPb,0.000000000000e+00
1061,1000,SO_TZn,3.135970110090e+01
1061,1000,IO_TZn,0.000000000000e+00
1061,1000,AO_TZn,0.000000000000e+00
1061,1000,PO_TZn,3.135970110090e+01
1061,1000,SED_TZn,3.135970110090e+01
1061,1000,SEDWSSD_TZn,3.135970110090e+01
1061,1000,SEDSCRS_TZn,0.000000000000e+00
1061,2000,AREA,4.050025000003e+01
1061,2000,PREC,5.948024480825e+02
1061,2000,SURO,5.528518246733e+02
1061,2000,IFWO,0.000000000000e+00
1061,2000,AGWO,0.000000000000e+00
1061,2000,PERO,5.528518246733e+02
1061,2000,TAET,4.195062340921e+01
1061,2000,SEDLOAD,1.021570579684e+01
1061,2000,SEDWSSD, 1.02157e+01
1061,2000,SEDSCRS, 0.00000e+00
1061,2000,SEDSURO, 0.00000e+00
1061,2000,SEDIFWO, 0.00000e+00
1061,2000,SEDAGWO, 0.00000e+00
1061,2000,SO_TN,1.313089794417e+01
1061,2000,IO_TN,0.000000000000e+00
1061,2000,AO_TN,0.000000000000e+00
1061,2000,PO_TN,1.313089794417e+01
1061,2000,SO_TP,4.558758711838e+01
1061,2000,IO_TP,0.000000000000e+00
1061,2000,AO_TP,0.000000000000e+00
1061,2000,PO_TP,4.558758711838e+01
1061,2000,SED_TP,4.558758711838e+01
1061,2000,SEDWSSD_TP,4.558758711838e+01
1061,2000,SEDSCRS_TP,0.000000000000e+00
1061,2000,SO_TCd,1.532355869525e-01
1061,2000,IO_TCd,0.000000000000e+00
1061,2000,AO_TCd,0.000000000000e+00
1061,2000,PO_TCd,1.532355869525e-01
1061,2000,SED_TCd,1.532355869525e-01
1061,2000,SEDWSSD_TCd,1.532355869525e-01
1061,2000,SEDSCRS_TCd,0.000000000000e+00
1061,2000,SO_TCu,1.532355869525e+01
1061,2000,IO_TCu,0.000000000000e+00
1061,2000,AO_TCu,0.000000000000e+00
1061,2000,PO_TCu,1.532355869525e+01
1061,2000,SED_TCu,1.532355869525e+01
1061,2000,SEDWSSD_TCu,1.532355869525e+01
1061,2000,SEDSCRS_TCu,0.000000000000e+00
1061,2000,SO_TPb,9.574074260197e+00
1061,2000,IO_TPb,0.000000000000e+00
1061,2000,AO_TPb,0.000000000000e+00
1061,2000,PO_TPb,9.574074260197e+00
1061,2000,SED_TPb,3.309888678175e+00
1061,2000,SEDWSSD_TPb,3.309888678175e+00
1061,2000,SEDSCRS_TPb,0.000000000000e+00
1061,2000,SO_TZn,7.061095846773e+01
1061,2000,IO_TZn,0.000000000000e+00
1061,2000,AO_TZn,0.000000000000e+00
1061,2000,PO_TZn,7.061095846773e+01
1061,2000,SED_TZn,7.061095846773e+01
1061,2000,SEDWSSD_TZn,7.061095846773e+01
1061,2000,SEDSCRS_TZn,0.000000000000e+00
1061,3000,AREA,8.962905200007e+01
1061,3000,PREC,1.316327172028e+03
1061,3000,SURO,1.223488372095e+03
1061,3000,IFWO,0.000000000000e+00
1061,3000,AGWO,0.000000000000e+00
1061,3000,PERO,1.223488372095e+03
1061,3000,TAET,9.283879993275e+01
1061,3000,SEDLOAD,1.716047044032e+01
1061,3000,SEDWSSD, 1.71605e+01
1061,3000,SEDSCRS, 0.00000e+00
1061,3000,SEDSURO, 0.00000e+00
1061,3000,SEDIFWO, 0.00000e+00
1061,3000,SEDAGWO, 0.00000e+00
1061,3000,SO_TN,2.905932517846e+01
1061,3000,IO_TN,0.000000000000e+00
1061,3000,AO_TN,0.000000000000e+00
1061,3000,PO_TN,2.905932517846e+01
1061,3000,SO_TP,7.657859933992e+01
1061,3000,IO_TP,0.000000000000e+00
1061,3000,AO_TP,0.000000000000e+00
1061,3000,PO_TP,7.657859933992e+01
1061,3000,SED_TP,7.657859933992e+01
1061,3000,SEDWSSD_TP,7.657859933992e+01
1061,3000,SEDSCRS_TP,0.000000000000e+00
1061,3000,SO_TCd,2.059256452838e-01
1061,3000,IO_TCd,0.000000000000e+00
1061,3000,AO_TCd,0.000000000000e+00
1061,3000,PO_TCd,2.059256452838e-01
1061,3000,SED_TCd,2.059256452838e-01
1061,3000,SEDWSSD_TCd,2.059256452838e-01
1061,3000,SEDSCRS_TCd,0.000000000000e+00
1061,3000,SO_TCu,2.059256452838e+01
1061,3000,IO_TCu,0.000000000000e+00
1061,3000,AO_TCu,0.000000000000e+00
1061,3000,PO_TCu,2.059256452838e+01
1061,3000,SED_TCu,2.059256452838e+01
1061,3000,SEDWSSD_TCu,2.059256452838e+01
1061,3000,SEDSCRS_TCu,0.000000000000e+00
1061,3000,SO_TPb,1.571628264782e+01
1061,3000,IO_TPb,0.000000000000e+00
1061,3000,AO_TPb,0.000000000000e+00
1061,3000,PO_TPb,1.571628264782e+01
1061,3000,SED_TPb,1.853330807554e+00
1061,3000,SEDWSSD_TPb,1.853330807554e+00
1061,3000,SEDSCRS_TPb,0.000000000000e+00
1061,3000,SO_TZn,8.895987876261e+01
1061,3000,IO_TZn,0.000000000000e+00
1061,3000,AO_TZn,0.000000000000e+00
1061,3000,PO_TZn,8.895987876261e+01
1061,3000,SED_TZn,8.895987876261e+01
1061,3000,SEDWSSD_TZn,8.895987876261e+01
1061,3000,SEDSCRS_TZn,0.000000000000e+00
1061,4000,AREA,5.838738700002e+01
1061,4000,PREC,8.574999098706e+02
1061,4000,SURO,7.970215848261e+02
1061,4000,IFWO,0.000000000000e+00
1061,4000,AGWO,0.000000000000e+00
1061,4000,PERO,7.970215848261e+02
1061,4000,TAET,6.047832504453e+01
1061,4000,SEDLOAD,1.472752309966e+01
1061,4000,SEDWSSD, 1.47275e+01
1061,4000,SEDSCRS, 0.00000e+00
1061,4000,SEDSURO, 0.00000e+00
1061,4000,SEDIFWO, 0.00000e+00
1061,4000,SEDAGWO, 0.00000e+00
1061,4000,SO_TN,4.470239409211e+02
1061,4000,IO_TN,0.000000000000e+00
1061,4000,AO_TN,0.000000000000e+00
1061,4000,PO_TN,4.470239409211e+02
1061,4000,SO_TP,1.082472947825e+02
