subbasin,deluid,parmname,value1
5109,1000,AREA,1.641997799999e+01
5109,1000,PREC,1.636962658471e+02
5109,1000,SURO,1.480543022819e+02
5109,1000,IFWO,0.000000000000e+00
5109,1000,AGWO,0.000000000000e+00
5109,1000,PERO,1.480543022819e+02
5109,1000,TAET,1.564196356518e+01
5109,1000,SEDLOAD,1.101069578285e+00
5109,1000,SEDWSSD, 1.10107e+00
5109,1000,SEDSCRS, 0.00000e+00
5109,1000,SEDSURO, 0.00000e+00
5109,1000,SEDIFWO, 0.00000e+00
5109,1000,SEDAGWO, 0.00000e+00
5109,1000,SO_TN,5.268006442003e+00
5109,1000,IO_TN,0.000000000000e+00
5109,1000,AO_TN,0.000000000000e+00
5109,1000,PO_TN,5.268006442003e+00
5109,1000,SO_TP,4.913522993098e+00
5109,1000,IO_TP,0.000000000000e+00
5109,1000,AO_TP,0.000000000000e+00
5109,1000,PO_TP,4.913522993098e+00
5109,1000,SED_TP,4.913522993098e+00
5109,1000,SEDWSSD_TP,4.913522993098e+00
5109,1000,SEDSCRS_TP,0.000000000000e+00
5109,1000,SO_TCd,1.926871761999e-02
5109,1000,IO_TCd,0.000000000000e+00
5109,1000,AO_TCd,0.000000000000e+00
5109,1000,PO_TCd,1.926871761999e-02
5109,1000,SED_TCd,1.926871761999e-02
5109,1000,SEDWSSD_TCd,1.926871761999e-02
5109,1000,SEDSCRS_TCd,0.000000000000e+00
5109,1000,SO_TCu,1.926871761999e+00
5109,1000,IO_TCu,0.000000000000e+00
5109,1000,AO_TCu,0.000000000000e+00
5109,1000,PO_TCu,1.926871761999e+00
5109,1000,SED_TCu,1.926871761999e+00
5109,1000,SEDWSSD_TCu,1.926871761999e+00
5109,1000,SEDSCRS_TCu,0.000000000000e+00
5109,1000,SO_TPb,4.756620578192e-01
5109,1000,IO_TPb,0.000000000000e+00
5109,1000,AO_TPb,0.000000000000e+00
5109,1000,PO_TPb,4.756620578192e-01
5109,1000,SED_TPb,4.756620578192e-01
5109,1000,SEDWSSD_TPb,4.756620578192e-01
5109,1000,SEDSCRS_TPb,0.000000000000e+00
5109,1000,SO_TZn,1.522118585021e+01
5109,1000,IO_TZn,0.000000000000e+00
5109,1000,AO_TZn,0.000000000000e+00
5109,1000,PO_TZn,1.522118585021e+01
5109,1000,SED_TZn,1.522118585021e+01
5109,1000,SEDWSSD_TZn,1.522118585021e+01
5109,1000,SEDSCRS_TZn,0.000000000000e+00
5109,2000,AREA,1.308469299998e+01
5109,2000,PREC,1.304456914531e+02
5109,2000,SURO,1.179809797972e+02
5109,2000,IFWO,0.000000000000e+00
