"subbasin","deluid","deluname","lutype","acrea_ac","slsur","lsur"
6682,1000,"Road_Freeway-All-All-All",1,3.674765,0.01,100
6682,2000,"Road_Primary-All-All-All",1,3.724146,0.01,100
6682,3000,"Road_Minor-All-All-All",1,0.960994,0.02,100
6682,4000,"Dev_ResHigh-All-All-All",1,0.014252,0.01,100
6682,5000,"Dev_ResLow-All-All-All",1,36.779711,0.12,100
6682,6000,"Dev_Com-All-All-All",1,0.109205,0.01,100
6682,7000,"Dev_Ind-All-All-All",1,0,0.01,100
6682,8000,"Dev_Inst-All-All-All",1,5.32626,0.01,100
6682,9000,"Dev_Roof-All-All-All",1,5.472187,0.01,100
6682,10000,"Dev_Overspray-All-All-All",1,0.811186,0.12,100
6682,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6682,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6682,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6682,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6682,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6682,11212,"Dev_Irrigated-B-Low-Unconfined",2,3.502858,0.02,400
6682,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6682,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.05,300
6682,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
6682,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6682,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
6682,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6682,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.01,400
6682,11412,"Dev_Irrigated-D-Low-Unconfined",2,12.716172,0.01,400
6682,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
6682,11422,"Dev_Irrigated-D-Med-Unconfined",2,0.004695,0.39,300
6682,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6682,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6682,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6682,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6682,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6682,12212,"Dev_Pervious-B-Low-Unconfined",2,9.028423,0.02,400
6682,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6682,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6682,12311,"Dev_Pervious-C-Low-Confined",2,0,0.01,400
6682,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6682,12321,"Dev_Pervious-C-Med-Confined",2,0,0.01,300
6682,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6682,12411,"Dev_Pervious-D-Low-Confined",2,0,0.01,400
6682,12412,"Dev_Pervious-D-Low-Unconfined",2,32.775235,0.01,400
6682,12421,"Dev_Pervious-D-Med-Confined",2,0,0.01,300
6682,12422,"Dev_Pervious-D-Med-Unconfined",2,0.012101,0.28,300
6682,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6682,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6682,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6682,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6682,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6682,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6682,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6682,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6682,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6682,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6682,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6682,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6682,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6682,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6682,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6682,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6682,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6682,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6682,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6682,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6682,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6682,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6682,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6682,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6682,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6682,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
6682,14222,"Veg_Low-B-Med-Unconfined",2,121.264331,0.06,300
6682,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6682,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6682,14321,"Veg_Low-C-Med-Confined",2,0,0.01,300
6682,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
6682,14331,"Veg_Low-C-High-Confined",2,0,0.01,400
6682,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
6682,14421,"Veg_Low-D-Med-Confined",2,0,0.01,300
6682,14422,"Veg_Low-D-Med-Unconfined",2,31.219241,0.14,300
6682,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
6682,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
6682,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
