"subbasin","deluid","deluname","lutype","acre_ac","slsur","lsur"
1030,1000,"Road_Freeway-All-All-All",1,19.690046,0.02,100
1030,2000,"Road_Primary-All-All-All",1,63.151288,0.01,100
1030,3000,"Road_Minor-All-All-All",1,99.62813,0.02,100
1030,4000,"Dev_ResHigh-All-All-All",1,39.776332,0.02,100
1030,5000,"Dev_ResLow-All-All-All",1,284.973827,0.04,100
1030,6000,"Dev_Com-All-All-All",1,32.711784,0.02,100
1030,7000,"Dev_Ind-All-All-All",1,22.436098,0.01,100
1030,8000,"Dev_Inst-All-All-All",1,27.224703,0.01,100
1030,9000,"Dev_Roof-All-All-All",1,229.409586,0.02,100
1030,10000,"Dev_Overspray-All-All-All",1,11.689114,0.04,100
1030,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
1030,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
1030,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
1030,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
1030,11211,"Dev_Irrigated-B-Low-Confined",2,0.177254,0.08,400
1030,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
1030,11221,"Dev_Irrigated-B-Med-Confined",2,0.22456,0.06,300
1030,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
1030,11311,"Dev_Irrigated-C-Low-Confined",2,147.028114,0.04,400
1030,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
1030,11321,"Dev_Irrigated-C-Med-Confined",2,0.102479,0.02,300
1030,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
1030,11411,"Dev_Irrigated-D-Low-Confined",2,55.611062,0.06,400
1030,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
1030,11421,"Dev_Irrigated-D-Med-Confined",2,30.638815,0.08,300
1030,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
1030,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
1030,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
1030,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
1030,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
1030,12211,"Dev_Pervious-B-Low-Confined",2,0.530595,0.1,400
1030,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
1030,12221,"Dev_Pervious-B-Med-Confined",2,0.672203,0.06,300
1030,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
1030,12311,"Dev_Pervious-C-Low-Confined",2,440.116917,0.04,400
1030,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
1030,12321,"Dev_Pervious-C-Med-Confined",2,0.306762,0.03,300
1030,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
1030,12411,"Dev_Pervious-D-Low-Confined",2,166.467275,0.07,400
1030,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
1030,12421,"Dev_Pervious-D-Med-Confined",2,91.714845,0.08,300
1030,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
1030,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
1030,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
1030,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
1030,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
1030,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
1030,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
1030,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
1030,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
1030,13231,"Agriculture-B-High-Confined",2,0,0.01,400
1030,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
1030,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
1030,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
1030,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
1030,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
1030,13331,"Agriculture-C-High-Confined",2,0,0.01,400
1030,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
1030,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
1030,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
1030,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
1030,13431,"Agriculture-D-High-Confined",2,0,0.01,400
1030,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
1030,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
1030,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
1030,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
1030,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
1030,14221,"Veg_Low-B-Med-Confined",2,1.415208,0.02,300
1030,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
1030,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
1030,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
1030,14321,"Veg_Low-C-Med-Confined",2,142.721386,0.04,300
1030,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
1030,14331,"Veg_Low-C-High-Confined",2,0,0.01,400
1030,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
1030,14421,"Veg_Low-D-Med-Confined",2,139.816636,0.06,300
1030,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
1030,14431,"Veg_Low-D-High-Confined",2,0.021234,0.09,400
1030,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
1030,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
1030,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
1030,15131,"Veg_High-A-High-Confined",2,0,0.01,400
1030,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
1030,15221,"Veg_High-B-Med-Confined",2,0.431219,0.11,300
1030,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
1030,15231,"Veg_High-B-High-Confined",2,0,0.01,400
1030,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
1030,15321,"Veg_High-C-Med-Confined",2,119.194927,0.04,300
1030,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
1030,15331,"Veg_High-C-High-Confined",2,0,0.01,400
1030,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
1030,15421,"Veg_High-D-Med-Confined",2,107.333933,0.09,300
1030,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
1030,15431,"Veg_High-D-High-Confined",2,0.107081,0.08,400
1030,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
1030,16000,"Water-All-All-All",1,0,0.01,100
