1030	2008	10	11	0	0		0.000000000000e+00	4.320158678739e-01	7.567223480657e-02	1.517844112077e+01	1.568612922345e+01	2.009851823375e-02	2.391290525744e-02	5.056403330328e-02	6.786350284045e-02	8.741161282258e-03	0.000000000000e+00	3.570344735821e+01	1.062858292415e+01	4.633203028236e+01	3.005527694597e+00	7.321884122731e-01	9.350900156244e-06	2.337616766516e-03	3.740085772050e-04	1.794626795910e-01	2.190255185018e+00	3.433077979276e-01	3.081825520801e-02	7.703564687673e+00	1.232477099357e+00	7.367701907034e+01
1030	2008	10	12	0	0		0.000000000000e+00	5.573418346312e-01	2.272861343703e-02	1.399492886102e+01	1.457499930909e+01	1.846005119051e-02	2.319994285714e-02	4.690484497276e-02	6.032016604328e-02	1.106087202452e-02	0.000000000000e+00	3.596445974609e+01	1.072458538258e+01	4.668904512866e+01	2.894086385116e+00	6.868688153352e-01	1.263012087124e-05	3.157530217810e-03	5.052048348496e-04	1.686761184940e-01	2.178196201445e+00	3.487146558224e-01	3.397169723190e-02	8.492847097811e+00	1.358848329368e+00	7.778560838258e+01
1030	2008	10	13	0	0		0.000000000000e+00	6.071314547915e-01	5.311013628431e-03	1.287997252854e+01	1.349241499696e+01	1.847509558236e-02	2.319994285714e-02	4.686876550663e-02	6.027376743800e-02	1.177879064385e-02	0.000000000000e+00	4.277976411287e+01	1.263237396016e+01	5.541213807303e+01	2.741826111340e+00	6.392703493260e-01	1.375842110223e-05	3.439605275559e-03	5.503368440894e-04	1.569455483487e-01	2.323654101771e+00	3.524372176000e-01	3.991532286857e-02	9.978825615139e+00	1.596611622235e+00	7.940871682518e+01
1030	2008	10	14	0	0		0.000000000000e+00	9.372118810704e-01	1.595465883501e-02	1.210052407313e+01	1.305369061304e+01	2.155550572329e-02	2.333320648579e-02	5.488779072448e-02	7.111584820137e-02	1.594377392172e-02	0.000000000000e+00	4.873899462602e+01	1.424882431174e+01	6.298781893777e+01	2.915551959709e+00	6.275819820592e-01	1.943263117539e-05	4.857187387159e-03	7.770594106545e-04	1.526527199904e-01	2.527127413717e+00	3.366941074127e-01	4.659792646711e-02	1.164846350872e+01	1.863659137977e+00	7.418569087951e+01
1030	2008	10	15	0	0		0.000000000000e+00	1.136773832701e+00	6.897025241287e-02	1.204546659020e+01	1.325121067531e+01	2.454676805426e-02	2.498655707656e-02	6.224925077316e-02	8.716861249597e-02	1.771736817561e-02	0.000000000000e+00	4.823015811908e+01	1.404965616070e+01	6.227981427977e+01	3.118918891205e+00	6.393438007356e-01	2.180748436085e-05	5.448906499157e-03	8.715483447000e-04	1.539277004056e-01	2.648427073259e+00	3.139361557094e-01	4.575220890136e-02	1.143265456833e+01	1.828720949612e+00	6.664120392568e+01
1030	2008	10	16	0	0		0.000000000000e+00	1.188046302276e+00	9.536187702739e-02	1.213644737597e+01	1.341985555527e+01	2.547477268905e-02	2.560262247103e-02	6.454022189198e-02	9.257319504771e-02	1.830188726748e-02	0.000000000000e+00	4.732376859743e+01	1.378037635250e+01	6.110414494993e+01	3.192590619917e+00	6.489043844163e-01	2.257098477620e-05	5.639398540805e-03	9.019913188925e-04	1.555691703557e-01	2.642624927073e+00	3.084359343513e-01	4.482283221180e-02	1.119958558227e+01	1.791362262567e+00	6.406762393360e+01
1030	2008	10	17	0	0		0.000000000000e+00	1.232445036439e+00	1.127367948203e-01	1.229956259579e+01	1.364474442705e+01	2.625141664164e-02	2.616434274706e-02	6.645089064674e-02	9.727496579574e-02	1.875601953393e-02	0.000000000000e+00	4.655150236493e+01	1.355302739311e+01	6.010452975804e+01	3.269835037313e+00	6.601827036263e-01	2.315190304906e-05	5.784080850934e-03	9.250894110919e-04	1.578818190103e-01	2.630160068937e+00	3.034598295174e-01	4.402017390835e-02	1.099801603236e+01	1.759026670337e+00	6.231211001150e+01
1030	2008	10	18	0	0		0.000000000000e+00	1.244928084136e+00	1.209878604869e-01	1.249424295964e+01	1.386015890426e+01	2.671978265602e-02	2.647777536573e-02	6.759418492668e-02	9.999611431111e-02	1.901488981578e-02	0.000000000000e+00	4.608516414976e+01	1.341763549550e+01	5.950279964526e+01	3.319796767955e+00	6.710130068095e-01	2.346538376140e-05	5.862660094628e-03	9.376816028732e-04	1.603385754479e-01	2.615027565108e+00	3.009109037233e-01	4.356061941881e-02	1.088327836897e+01	1.740682733701e+00	6.145868922848e+01
1030	2008	10	19	0	0		0.000000000000e+00	1.183884690353e+00	1.148770065136e-01	1.264034774011e+01	1.393910943697e+01	2.623404539142e-02	2.606488994024e-02	6.637461163754e-02	9.677776341549e-02	1.838032705891e-02	0.000000000000e+00	4.590341306177e+01	1.337434657027e+01	5.927775963205e+01	3.282358718061e+00	6.736153366092e-01	2.259449290217e-05	5.645685284439e-03	9.030354376741e-04	1.612977277524e-01	2.589287624511e+00	3.044814445083e-01	4.335056162086e-02	1.083200539558e+01	1.732594929059e+00	6.235512697877e+01
1030	2008	10	20	0	0		0.000000000000e+00	1.212134402106e+00	1.135836712856e-01	1.275751061071e+01	1.408322868411e+01	2.646300754911e-02	2.624435674862e-02	6.697587437227e-02	9.826685816954e-02	1.870870075791e-02	0.000000000000e+00	4.570550759921e+01	1.331746601220e+01	5.902297361141e+01	3.330627891150e+00	6.804883126198e-01	2.301617970904e-05	5.750828861740e-03	9.198324517633e-04	1.629624635352e-01	2.588951888686e+00	3.032154387584e-01	4.324810723017e-02	1.080625444798e+01	1.728461958117e+00	6.224461163498e+01
1030	2008	10	21	0	0		0.000000000000e+00	1.214905022604e+00	1.147811277914e-01	1.288010067253e+01	1.420978682292e+01	2.654048459574e-02	2.633733841605e-02	6.716871017136e-02	9.888686584440e-02	1.868364712331e-02	0.000000000000e+00	4.537629083710e+01	1.322391142617e+01	5.860020226327e+01	3.352200617497e+00	6.859436132901e-01	2.296509902462e-05	5.737848931222e-03	9.177360853351e-04	1.643105155381e-01	2.576792863644e+00	3.022165539542e-01	4.291176945691e-02	1.072193375734e+01	1.714948597866e+00	6.206556539599e+01
1030	2008	10	22	0	0		0.000000000000e+00	1.189617479327e+00	1.172043893010e-01	1.297593744280e+01	1.428275931143e+01	2.635694206156e-02	2.628443820473e-02	6.668258239115e-02	9.805423977763e-02	1.830152311790e-02	0.000000000000e+00	4.491500135991e+01	1.309597538828e+01	5.801097674819e+01	3.347705654001e+00	6.884083598293e-01	2.244198362952e-05	5.606818770945e-03	8.967478039505e-04	1.649777847001e-01	2.571498183272e+00	3.028452152051e-01	4.236103311473e-02	1.058364990586e+01	1.692767203474e+00	6.215864343244e+01
1030	2008	10	23	0	0		0.000000000000e+00	1.128711475787e+00	1.097447799298e-01	1.298157602062e+01	1.422003227634e+01	2.580472354916e-02	2.584645810971e-02	6.528990657194e-02	9.451313318550e-02	1.769018479600e-02	0.000000000000e+00	4.500951673902e+01	1.313163928399e+01	5.814115602302e+01	3.289307767015e+00	6.847319061371e-01	2.162324059854e-05	5.402930605658e-03	8.642001394673e-04	1.643871045633e-01	2.563235386687e+00	3.071232075120e-01	4.242189992515e-02	1.059980842934e+01	1.695440470511e+00	6.326101772506e+01
1030	2008	10	24	0	0		0.000000000000e+00	1.239697869118e+00	1.153197792232e-01	1.302744910900e+01	1.438246675734e+01	2.670355108622e-02	2.650771153731e-02	6.760287181253e-02	1.001263953453e-01	1.885852557873e-02	0.000000000000e+00	4.489801421799e+01	1.308916268816e+01	5.798717690616e+01	3.404257196354e+00	6.935117048156e-01	2.317843948754e-05	5.790670425821e-03	9.261395864986e-04	1.661504715514e-01	2.579326570435e+00	3.011463340511e-01	4.251566607845e-02	1.062228396190e+01	1.698946395185e+00	6.197606772172e+01
1030	2008	10	25	0	0		0.000000000000e+00	1.246089554053e+00	1.243592823890e-01	1.315116202797e+01	1.452161086441e+01	2.703791045630e-02	2.679058940524e-02	6.839808653535e-02	1.022810761953e-01	1.893279141696e-02	0.000000000000e+00	4.449314005528e+01	1.296986201152e+01	5.746300206680e+01	3.432223114969e+00	7.002533438946e-01	2.325808420318e-05	5.810442690500e-03	9.292901835191e-04	1.676158643904e-01	2.565326857863e+00	2.983090002067e-01	4.204482320612e-02	1.050412143761e+01	1.679998222719e+00	6.108411710352e+01
1030	2008	10	26	0	0		0.000000000000e+00	1.254843868003e+00	1.431170846248e-01	1.329417206773e+01	1.469213302036e+01	2.742065304274e-02	2.712667113681e-02	6.933110567169e-02	1.048231867366e-01	1.910834396402e-02	0.000000000000e+00	4.410609523980e+01	1.285802630200e+01	5.696412154180e+01	3.475668016537e+00	7.092744926868e-01	2.346693121712e-05	5.862814840200e-03	9.376846977847e-04	1.694034281476e-01	2.555682347283e+00	2.967941802517e-01	4.163177738344e-02	1.040092586647e+01	1.663493080559e+00	6.030848767537e+01
1030	2008	10	27	0	0		4.550646826000e+01	1.436684568880e+00	3.039029297898e-01	1.361545658071e+01	1.535604407938e+01	2.954054165945e-02	2.923260612018e-02	7.466277177037e-02	1.201321275061e-01	2.280259012255e-02	0.000000000000e+00	4.618356742094e+01	1.344292086680e+01	5.962648828775e+01	3.766015442151e+00	7.578191126900e-01	2.832276140074e-05	7.076160498023e-03	1.131762893482e-03	1.769281370701e-01	2.563555267154e+00	3.088127105959e-01	4.312212212387e-02	1.077392050646e+01	1.723210345414e+00	5.904819246416e+01
1030	2008	10	28	0	0		0.000000000000e+00	1.214199441973e+00	2.259579863921e-01	1.372319600664e+01	1.516335343500e+01	2.785309836267e-02	2.754316140201e-02	7.038399443840e-02	1.078463715100e-01	1.863475804515e-02	0.000000000000e+00	4.149963043248e+01	1.212843035167e+01	5.362806078415e+01	3.546128994353e+00	7.333938304249e-01	2.275729569367e-05	5.685581149820e-03	9.093436584354e-04	1.736969449399e-01	2.489336436359e+00	3.025420234991e-01	3.909621118070e-02	9.767896240335e+00	1.562288786669e+00	5.811118161671e+01
